data1,data2
A965212,465591
A975133,475512
A985358,485737
A996833,497212
A918938,419318
A930290,430670
A905295,405676
A937642,438023
A941180,441561
A947331,447712
A964948,465329
A972410,472791
A912646,413028
A925952,426334
A946470,446852
A946844,447226
A960912,461294
A987879,488261
A989695,490077
A914255,414638
A931169,431552
A977704,478087
A927848,428232
A929140,429524
A937091,437475
A965227,465611
A931604,431989
A937619,438004
A977279,477664
A978691,479076
A915383,415769
A915243,415630
A928627,429014
A960775,461162
A961847,462234
A966677,467064
A985812,486199
A912282,412670
A914552,414940
A922478,422866
A924167,424555
A959043,459431
A908810,409199
A908927,409316
A928668,429057
A942624,443013
A943214,443603
A951968,452357
A952830,453219
A969995,470384
A994131,494520
A904720,405110
A916457,416847
A924919,425309
A934094,434484
A924996,425387
A931926,432317
A939116,439507
A960938,461329
A981931,482322
A909192,409584
A953721,454113
A961605,461997
A988055,488447
A994087,494479
A916736,417129
A973380,473773
A991350,491743
A907530,407924
A920396,420790
A930614,431008
A932723,433117
A937575,437969
A981031,481425
A992863,493257
A970099,470494
A917166,417562
A917367,417763
A921198,421594
A929060,429456
A910517,410914
A942209,442606
A962009,462406
A977361,477758
A978093,478490
A979170,479567
A996905,497302
A910965,411363
A976235,476633
A924206,424605
A967378,467777
A994365,494764
A920385,420785
A928284,428684
A929597,429997
A941395,441795
A908409,408810
A910889,411290
A927975,428376
A929340,429741
A962848,463249
A972103,472504
A982277,482678
A907491,407893
A942457,442859
A953493,453895
A962123,462525
A973542,473944
A976942,477344
A909044,409447
A913095,413498
A931741,432144
A932389,432792
A932646,433049
A933013,433416
